"02.010.05";"125, 369"
"02.011.04";"393"
"02.011.06";"306"
"02.011.07";"372"
"02.011.11";"52"
"02.011.12";"422, 447"
"02.011.17";"49"
"02.011.19";"555"
"02.012.02";"385"
"02.012.05";"142"
"02.012.13";"143"
"02.013.02";"559"
"02.013.11";"574"
"02.014.01";"127"
"02.014.02";"376"
"02.015.04";"388"
"02.015.05";"418"
"02.016.01";"206"
"02.016.03";"422, 573"
"02.016.07";"551"
"02.016.08";"331"
"02.017.05";"418"
"02.018.02";"146"
"02.018.03";"419, 503"
"02.018.04";"100"
"02.018.06";"271"
"02.018.07";"97"
"02.019.04";"119"
"02.020.08";"579"
"02.022.01";"415, 594"
"02.022.04";"311"
"02.023.04";"319"
"02.023.06";"207"
"02.023.07";"319"
"02.023.16";"7, 122"
"02.023.18";"124"
"02.024.01";"196, 326, 356"
"02.024.02";"400"
"02.024.03";"193, 400"
"02.024.05";"130"
"02.024.08";"424"
"02.024.09";"583"
"02.024.11";"463"
"02.025.01";"312"
"02.025.02";"84"
"02.025.03";"415"
"02.026.02";"327"
"02.026.03";"126"
"02.026.04";"359"
"02.027.05";"304"
"02.027.10";"419, 561"
"02.027.13";"116, 560"
"02.027.14";"33, 85, 556, 570"
"02.027.16";"356"
"02.028.07";"7"
"02.028.08";"303"
"02.028.09";"356"
"02.029.03";"85, 303, 314"
"02.029.04";"3, 35"
"02.029.05";"442"
"02.029.06";"90, 381, 418"
"02.030.02";"365"
"02.030.03";"442"
"02.030.04";"593"
"02.030.05";"318"
"02.030.07";"5, 48, 124, 358, 531"
"02.030.10";"391"
"02.030.11";"206, 328"
"02.032.05";"47"
"02.032.06";"555"
"02.033.03";"386"
"02.033.09";"483"
"02.033.10";"483"
"02.033.14";"357"
"02.033.15";"595"
"02.034.02";"579"
"02.035.01";"315, 550"
"02.035.06";"358, 418"
"02.036.04";"382"
"02.036.08";"47"
"02.037.04";"109"
"02.037.05";"504"
"02.037.06";"224"
"02.038.01";"313"
"02.038.03";"313, 418"
"02.038.08";"47"
"02.038.11";"318, 357"
"02.040.05";"390"
"02.041.01";"205"
"02.041.10";"312"
"02.041.11";"330, 358"
"02.041.13";"438"
"02.041.16";"193"
"03.001.01";"411"
"03.001.17";"70"
"03.001.22";"200"
"03.002.10";"354"
"03.003.10";"384"
"03.003.11";"95"
"03.004.02";"116"
"03.004.04";"411"
"03.004.05";"49"
"03.004.06";"328"
"03.004.09";"230"
"03.004.10";"593"
"03.005.04";"580"
"03.005.08";"585"
"03.005.10";"586, 599"
"03.006.04";"446"
"03.007.09";"196"
"03.007.10";"419"
"03.008.01";"323"
"03.008.03";"270, 356"
"03.009.02";"421"
"03.009.03";"391"
"03.009.06";"575"
"03.010.03";"319, 560"
"03.011.09";"307"
"03.012.07";"444"
"03.013.06";"118"
"03.014.04";"85, 354"
"03.016.04";"449"
"03.017.02";"593"
"03.017.05";"356"
"03.018.05";"580"
"03.019.04";"321"
"03.019.05";"322"
"03.020.04";"312"
"03.021.02";"205"
"03.021.05";"198"
"03.022.02";"559"
"03.023.02";"47"
"03.024.03";"356"
"03.025.04";"84"
"03.026.07";"128"
"03.027.03";"417"
"03.027.12";"455"
"03.028.05";"309"
"03.029.04";"415"
"03.029.06";"585"
"03.029.08";"309, 356"
"03.029.10";"535"
"03.029.14";"108"
"03.030.01";"524"
"03.030.02";"205"
"03.030.04";"390"
"03.030.05";"323"
"03.030.10";"418, 421"
"03.030.11";"100"
"03.030.12";"518, 578"
"03.030.13";"578"
"03.030.15";"400"
"03.030.19";"206"
"03.031.06";"586"
"03.031.15";"376"
"03.031.17";"413, 580"
"03.032.01";"205"
"03.032.02";"205"
"03.032.07";"230"
"03.032.09";"358"
"03.032.10";"539"
"03.032.11";"576, 583"
"03.032.14";"126, 326, 328, 577"
"03.032.15";"411, 435"
"03.033";"102"
"03.033.01";"124"
"03.033.02";"152, 379"
"03.033.04";"415"
"03.033.05";"143"
"03.033.07";"577"
"03.033.08";"205, 318"
"03.033.09";"577"
"03.033.10";"126, 205, 307"
"03.033.11";"341"
"03.034.08";"376"
"03.034.10";"535"
"03.035.02";"328, 438"
"03.035.05";"47, 303"
"03.035.06";"28"
"03.035.07";"414"
"03.035.09";"118"
"03.036.03";"593"
"03.036.04";"576"
"03.036.05";"47"
"03.036.06";"573"
"03.036.10";"356, 423"
"03.037.05";"415"
"03.037.11";"558"
"03.038.01";"420"
"03.039.01";"205"
"03.039.02";"206"
"03.039.04";"560"
"03.041.01";"517"
"03.041.02";"265"
"03.041.09";"420"
"03.042.02";"315, 551"
"03.042.03";"420"
"03.043.04";"330"
"03.043.05";"551"
"03.045.01";"478"
"03.045.02";"157"
"03.045.04";"180"
"03.046.05";"98, 413"
"03.048.01";"417"
"03.048.02";"575, 582"
"03.050.02";"423"
"03.051.06";"264"
"03.051.07";"593"
"03.051.08";"124, 577"
"03.052.03";"309"
"03.052.05";"48"
"03.053.02";"158, 181, 458, 504"
"03.053.03";"303, 306, 357"
"03.053.04";"217, 325"
"03.053.11";"75"
"03.053.13";"311"
"03.053.17";"97"
"03.053.18";"522"
"03.053.19";"36"
"03.053.21";"352, 559"
"03.054.10";"311"
"03.054.15";"133"
"03.054.17";"574"
"03.054.18";"418"
"03.054.21";"352"
"03.055.01";"576"
"03.055.03";"388"
"03.055.13";"129"
"03.056.01";"421"
"03.057.01";"103"
"03.057.02";"577, 582"
"03.061.01";"137"
"03.062.01";"396, 584"
"03.062.07";"271"
"03.062.09";"46"
"03.062.10";"555"
"03.062.13";"417"
"04.001.01";"530"
"04.001.04";"332"
"04.001.09";"354"
"04.002.01";"413"
"04.002.03";"452"
"04.002.06";"319"
"04.002.08";"356"
"04.002.10";"359"
"04.003.04";"478"
"04.003.07";"314"
"04.003.15";"127"
"04.004.04";"47"
"04.004.09";"375"
"04.004.10";"359"
"04.004.11";"34, 108"
"04.005.01";"336"
"04.005.04";"46"
"04.005.11";"28"
"04.006.07";"98, 418"
"04.007.10";"478"
"04.008.03";"417"
"04.008.06";"264"
"04.009.01";"417, 556"
"04.010.01";"205"
"04.010.04";"305"
"04.012.01";"116"
"04.012.02";"381"
"04.012.03";"140"
"04.012.06";"593"
"04.013.01";"125"
"04.013.05";"549"
"04.016.02";"411"
"04.016.03";"130, 323"
"04.016.05";"46"
"04.016.10";"354"
"04.016.17";"322"
"04.016.18";"357, 435"
"04.016.20";"327"
"04.017.03";"125"
"04.017.05";"46"
"04.017.09";"264"
"04.017.10";"591"
"04.017.13";"404"
"04.017.17";"194"
"04.017.18";"205"
"04.018.01";"414"
"04.018.02";"315"
"04.018.04";"314, 400, 561"
"04.018.05";"536"
"04.018.10";"208"
"04.018.11";"372, 372"
"04.018.12";"442"
"04.018.13";"117"
"04.019.08";"128"
"04.020.01";"311"
"04.020.02";"313"
"04.020.10";"49, 303"
"04.021.01";"438"
"04.021.06";"324"
"04.021.09";"414"
"04.022.03";"193"
"04.022.04";"85"
"04.022.05";"375"
"04.022.07";"48, 411"
"04.023.03";"271"
"04.023.06";"303"
"04.023.07";"398, 423"
"04.024.04";"578"
"04.024.09";"395"
"04.024.10";"134, 325"
"04.025.04";"303, 530"
"04.026.04";"111"
"04.026.05";"129, 586"
"04.027.05";"411"
"04.030.01";"595"
"04.030.04";"588"
"04.030.08";"578"
"04.030.10";"375, 385"
"04.030.19";"415"
"04.030.23";"319"
"04.031.01";"358"
"04.031.02";"314, 421"
"04.031.03";"309"
"04.032.09";"49"
"04.032.16";"309"
"04.032.19";"81"
"04.033.05";"100, 303, 307, 531"
"04.035.02";"201, 576"
"04.036.01";"574"
"04.036.03";"535"
"04.036.04";"120"
"04.036.05";"199"
"04.036.09";"338"
"04.037.01";"595"
"04.037.03";"264"
"04.037.07";"414, 416"
"04.038.03";"103, 372"
"04.039.01";"306"
"04.039.03";"388"
"04.039.04";"577"
"04.039.06";"312"
"04.041.03";"324"
"04.041.11";"323"
