zurich_lemmatype,zurich_lemma,zur-gra_rank,gra_lemma_id,revised (y/n)
root,√vidh- 1,,viD_8028,y
root,√vidh- 2,,viD_8029,y
root,√vij-,,vij_7973,y
root,√vip-,,vip_8043,y
root,√vīray-,,vIray_8320,y
root,√viś-,,viS_8139,y
root,√viṣ- 1,,viz_8234,y
root,√viṣ- 2,,viz_8235,y
root,√viṣṭ-,,vizw_8250,y
root,√vithury-,,viTury_7997,y
root,√vlag-,,vlag_8554,y
root,√vr̥- 1,,vf_8335,y
root,√vr̥- 2,,vf_8336,y
root,√vrad-,,vrad_8541,y
root,√vrādh-,,vrAD_8552,y
root,√vraj-,,vraj_8531,y
root,√vr̥dh-,,vfD_8385,y
root,√vr̥h-,,barh_6156,y
root,√vr̥j-,,vfj_8351,y
root,√vr̥jināy-,,vfjinAy_8360,y
root,√vr̥ṣ-,,vfz_8393,y
root,√vr̥ṣaṇy-,,vfzaRy_8401,y
root,√vr̥ṣāy- 1,,vfzAy_8437,y
root,√vr̥ṣāy- 2,,vfzAy_8438,y
root,√vr̥śc-,,vraSc_8544,y
root,√vr̥t-,,vft_8361,y
root,√vyā-,,vyA_8522,y
root,√vyac-,,vyac_8507,y
root,√vyadh-,,vyaD_8516,y
root,√vyath-,,vyaT_8513,y
root,√yā- 1,,yA_7091,y
root,√yā- 2,,i_1675,y
root,√yāc-,,yAc_7092,y
root,√yād-,,yAd_7104,y
root,√yaj-,,yaj_6994,y
root,√yajñāy-,,yajYAy_7021,y
root,√yakṣ-,,yakz_6986,y
root,√yam-,,yam_7053,y
root,√yas-,,yas_7085;yez_7183,y
root,√yat-,,yat_7027,y
root,√yu- 1,,yu_7124,y
root,√yu- 2,,yu_7125,y
root,√yudh-,,yuD_7139,y
root,√yuj-,,yuj_7133,y
root,√yup-,,yup_7147,y
root,√yuṣmay-,,yuzmayat_7168,y
root,akhkhalī-√kr̥-,,aKKalIkf_66,y
root,śrád-√dhā-,,SradDA_8955,y
pronoun,ahám,,aham_1404,y
pronoun,asaú,,adas_279,y
pronoun,ayám,,idam_1696,y
pronoun,ena-,,ena_2308,y
pronoun,eṣá,,etad_2295,y
pronoun,ítara-,,itara_1685,y
pronoun,ká-,,ka_2373,y
pronoun,katamá-,,katama_2394,y
pronoun,katará-,,katara_2395,y
pronoun,mámaka-,,mamaka_6661,y
pronoun,māmaká-,,mAmaka_6795,y
pronoun,sá- ~ tá-,,sa_9064;ta_3606,y
pronoun,saká-,,saka_9096,y
pronoun,sama-,,sama_9360,y
pronoun,svá-,,sva_10367,y
pronoun,syá- ~ tyá-,,sya_10331;tya_3907,y
pronoun,taká-,,taka_3609,y
pronoun,tāvaká-,,tAvaka_3742,y
pronoun,tva-,,tva_3982,y
pronoun,tvá-,,tva_3984,y
